Number of Nodes,Brushfire mean,Standard deviation of Brushfire,NNs mean,Mean distance,Mean minimun distance,Class
2.0,9.125,0.025,1.5,2.5504901489713703,2.5504901489713703,0.0
4.0,4.1875,0.36464880364537056,2.5,6.709367046432914,3.0385678516012784,1.0
1.0,9.15,0.0,1.0,9.400132977782816,9.400132977782816,0.0
8.0,4.55625,0.029973947020704494,2.125,2.6017174043904614,0.5877092039963004,0.0
2.0,12.4,0.0,2.0,0.05,0.05,0.0
2.0,11.0,0.0,2.0,0.05,0.05,0.0
6.0,10.766666666666666,3.6539552390374035,2.333333333333333,4.47608676942851,2.1668137204020077,0.0
7.0,11.935714285714285,0.7989789402348322,2.8571428571428568,1.5345805026425665,0.8117405804247811,0.0
1.0,12.5,0.0,3.0,13.788582233137678,13.788582233137678,0.0
2.0,9.825000000000001,2.6750000000000003,2.0,7.566372975210779,7.458271520635238,0.0
2.0,12.525,0.025,2.0,0.05,0.05,0.0
2.0,5.325,2.225,2.0,12.75,12.75,0.0
7.0,5.714285714285714,2.7286462218619754,2.571428571428572,4.8123710718833985,0.3928571428571429,0.0
2.0,7.525,0.025,1.5,1.9006577808748213,1.9006577808748213,0.0
9.0,10.272222222222224,2.6947594317604175,2.6666666666666665,6.562705263174394,1.2278044865621573,0.0
4.0,9.7125,3.0125518667734172,1.75,8.206691910993477,1.3502358280698572,0.0
3.0,5.966666666666666,0.023570226039551584,1.6666666666666667,1.0666666666666664,0.55,0.0
9.0,4.411111111111111,1.0046496840462953,2.333333333333333,9.639194344125583,2.1044371250688623,1.0
3.0,5.016666666666666,0.023570226039551584,1.6666666666666667,1.7003300329937892,0.8668333166699992,1.0
1.0,9.55,0.0,1.0,10.885311203635842,10.885311203635842,0.0
9.0,4.6000000000000005,2.73221521846285,2.333333333333333,13.917859900874157,2.825270176846277,0.0
5.0,5.3100000000000005,0.020000000000000004,1.8,12.090228749742941,2.2607388869904352,0.0
6.0,2.758333333333333,0.03435921354681384,2.6666666666666665,0.9437230734181624,0.39251884670303344,1.0
14.0,6.496428571428571,4.363299222152982,2.2142857142857144,22.325781723703386,3.9601103600339496,0.0
2.0,6.025,0.025,1.5,1.6507574019219178,1.6507574019219178,0.0
4.0,7.0625,0.0414578098794425,1.75,2.697246567594009,1.2151387818865997,0.0
8.0,6.15,2.025925714334068,2.25,8.415273732115997,2.4351708291552843,0.0
5.0,12.48,0.024494897427831782,1.8,4.57032908119232,2.160330877607245,0.0
20.0,8.375,5.24343637321938,2.4,18.82892822195702,1.9000567245466202,0.0
3.0,6.966666666666668,4.151572660517404,2.0,15.034127199389927,9.849228584214558,0.0
6.0,8.558333333333334,2.738676180606649,2.333333333333333,5.785696583314333,0.7650203244476121,0.0
6.0,4.616666666666666,2.802479061275729,1.8333333333333333,12.489779592961435,3.588008166999298,0.0
18.0,7.875,2.0844163851463717,2.4444444444444446,15.57577584733422,2.07916431161379,0.0
8.0,10.481250000000001,2.6893235092677115,2.125,3.794927062839657,1.6944740736950277,0.0
8.0,6.525,1.9427750770482928,2.25,15.977233169496769,3.5700570142950854,0.0
4.0,6.875,0.05590169943749475,1.75,7.825245253832349,3.513174758903981,0.0
6.0,5.016666666666666,0.03726779962499651,2.5,5.867882944129793,2.0361443821940237,1.0
2.0,5.45,2.0500000000000003,1.5,9.36923155867118,9.36923155867118,0.0
25.0,4.742,1.1591962732859349,2.44,20.073864346811348,1.8502368392265482,1.0
1.0,12.450000000000001,0.0,1.0,16.17297127926715,16.17297127926715,0.0
6.0,11.616666666666667,1.9529180445909369,2.1666666666666665,3.887353140943303,1.8875112659078068,0.0
5.0,4.29,0.9457272334029512,2.0,4.809841176310208,2.449592779976249,1.0
8.0,5.018750000000001,0.03479852726768764,2.75,8.132198868970809,1.0439283153075072,1.0
4.0,5.1375,2.087574848957517,1.75,5.594498419831272,0.8503787009609589,0.0
2.0,5.15,0.0,1.5,0.9,0.9,0.0
2.0,6.075,0.025,1.5,2.350531854708632,2.350531854708632,0.0
2.0,8.0,0.0,1.5,0.9013878188659974,0.9013878188659974,0.0
2.0,4.9750000000000005,0.025,1.5,8.600145347608958,8.600145347608958,1.0
19.0,6.744736842105263,2.16295939670641,2.421052631578948,23.832523891205565,3.6467289517854944,1.0
3.0,7.816666666666667,6.10468854424386,1.6666666666666667,12.474478670289,6.256274760022162,0.0
4.0,3.0125,0.0414578098794425,1.75,2.8184582470201374,1.1523815144445833,0.0
2.0,12.525,0.025,1.5,0.9500000000000001,0.9500000000000001,0.0
2.0,9.425,0.025,1.5,3.100403199585499,3.100403199585499,0.0
3.0,7.5166666666666675,0.023570226039551584,1.6666666666666667,1.3670781892717478,0.7002083007914185,0.0
